Sample,Bact,Ehux,EhV86
EA_2_0.1,29400,25550,275050
EB_2_0.1,16750,22950,260700
EC_2_0.1,18900,21600,177050
ED_2_0.1,14200,19800,242000
EE_2_0.1,16550,21050,242750
EF_2_0.1,15150,19000,219400
EG_2_0.1,60300,5450,7638100
EH_2_0.1,75000,6300,7917700
EI_2_0.1,35650,24750,2950
EJ_2_0.1,37250,22100,750
EA_2_0.05,10000,12650,122000
EB_2_0.05,7350,11800,120850
EC_2_0.05,7700,10450,81250
ED_2_0.05,6750,10750,115800
EE_2_0.05,9200,11050,117250
EF_2_0.05,8300,10250,100800
EG_2_0.05,24150,3700,3909850
EH_2_0.05,27700,2950,4010900
EI_2_0.05,17400,11600,1050
EJ_2_0.05,19350,10000,400
EA_4_0.1,32850,89550,110450
EB_4_0.1,38950,85150,115500
EC_4_0.1,43100,76750,87600
ED_4_0.1,30000,69850,76850
EE_4_0.1,36750,80700,124700
EF_4_0.1,34400,73750,115850
EG_4_0.1,196850,650,9597700
EH_4_0.1,171100,500,7570050
EI_4_0.1,58850,87700,5400
EJ_4_0.1,66550,66950,1050
EA_4_0.05,18450,37600,52850
EB_4_0.05,21300,41450,54050
EC_4_0.05,21200,36550,42450
ED_4_0.05,16700,34950,44050
EE_4_0.05,21500,36650,59450
EF_4_0.05,18300,32050,54600
EG_4_0.05,75850,350,4634150
EH_4_0.05,53400,200,3845550
EI_4_0.05,26800,42150,650
EJ_4_0.05,33500,36600,250
EA_6_0.1,73900,225150,63750
EB_6_0.1,65700,252850,73100
EC_6_0.1,73850,292350,53300
ED_6_0.1,49400,193350,50450
EE_6_0.1,48300,230350,65400
EF_6_0.1,45650,199200,63700
EG_6_0.1,227100,500,8932700
EH_6_0.1,236200,650,9258850
EI_6_0.1,80900,253050,6950
EJ_6_0.1,89000,208400,2300
EA_6_0.05,37650,116550,36350
EB_6_0.05,35150,118300,36050
EC_6_0.05,34500,119100,24900
ED_6_0.05,26050,100250,25050
EE_6_0.05,27400,104150,35650
EF_6_0.05,27600,94650,35050
EG_6_0.05,123350,50,4584200
EH_6_0.05,128350,250,4653550
EI_6_0.05,40000,119450,1650
EJ_6_0.05,45050,105650,750
TE1,500,50,100
TE2,1150,50,100
TE3,250,0,100
TE4,650,0,0
TE5,750,0,100