Day,Sample,Bact1,Bact2,Ehux,EhV86
0,EA_0.01,1650,1950,1800,25100
0,EB_0.01,1750,2600,1450,19300
0,EC_0.01,2050,2200,1400,15050
0,ED_0.01,1500,1300,2950,19700
0,EE_0.01,1300,900,1900,17500
0,EF_0.01,2100,1850,2600,16600
0,EG_0.01,2200,1700,2600,23200
0,EH_0.01,1500,1500,2500,20450
0,EI_0.01,1400,1650,2850,16300
0,EJ_0.01,2100,2000,2600,13850
0,EK_0.01,2150,1550,1500,32100
0,EL_0.01,1200,1550,3650,900
0,EM_0.01,1950,2500,2150,1650
0,EN_0.01,0,0,0,15150
0,EO_0.01,50,0,0,17450
0,EA_0.1,14700,16600,13600,153200
0,EB_0.1,15850,20350,12750,131350
0,EC_0.1,16200,17150,12100,109750
0,ED_0.1,15350,20300,18650,144050
0,EE_0.1,15100,18450,15900,127600
0,EF_0.1,15600,21550,13950,98700
0,EG_0.1,14950,19050,13500,97100
0,EH_0.1,17400,20950,15800,116050
0,EI_0.1,18100,19500,20400,111850
0,EJ_0.1,15650,22350,12250,89950
0,EK_0.1,19000,22450,13400,92150
0,EL_0.1,15350,21250,15600,1950
0,EM_0.1,14800,19550,14050,4700
0,EN_0.1,50,0,0,102850
0,EO_0.1,150,0,0,112500
3,EA_0.1,19200,38200,2150,17466150
3,EB_0.1,76400,52350,11750,21282550
3,EC_0.1,21700,30750,60600,118400
3,ED_0.1,18500,33350,42500,112150
3,EE_0.1,20700,26300,52350,93450
3,EF_0.1,26550,30500,76200,98550
3,EG_0.1,21150,35600,67300,98400
3,EH_0.1,35500,45200,90800,139800
3,EI_0.1,23800,24850,70750,83950
3,EJ_0.1,22500,24350,61600,84650
3,EK_0.1,25550,24500,45450,98250
3,EL_0.1,18250,63750,64250,750
3,EM_0.1,21950,69850,49350,1150
3,EN_0.1,200,100,50,61150
3,EO_0.1,150,100,50,48650
7,EA_0.1,36150,191950,0,19564750
7,EB_0.1,27350,179300,250,21107800
7,EC_0.1,40700,44550,233900,69700
7,ED_0.1,27100,50050,191650,54300
7,EE_0.1,38700,35350,324000,53600
7,EF_0.1,39450,33250,275400,52700
7,EG_0.1,42750,42700,310550,49400
7,EH_0.1,95450,34550,240800,70650
7,EI_0.1,45600,32000,379350,55800
7,EJ_0.1,186500,26350,296500,61050
7,EK_0.1,106450,32200,302400,56750
7,EL_0.1,235850,104250,303750,4350
7,EM_0.1,50900,153050,426800,7050
7,EN_0.1,0,50,300,34250
7,EO_0.1,100,100,300,24250